"start","end","score","tag"
"1,005.00","1,011.35","1.0","goal_forced"
"1,700.00","1,706.14","1.0","goal_forced"
"1,758.00","1,764.15","1.0","goal_forced"
"1,852.00","1,858.16","1.0","goal_forced"
"1,958.00","1,964.18","1.0","goal_forced"
"2,170.00","2,176.88","1.0","goal_forced"
"2,314.00","2,320.24","1.0","goal_forced"
"2,325.00","2,331.58","1.0","goal_forced"
"2,353.00","2,359.58","1.0","goal_forced"
"2,386.00","2,392.25","1.0","goal_forced"
"2,600.00","2,606.29","1.0","goal_forced"
"2,621.00","2,627.63","1.0","goal_forced"
"3,074.00","3,080.37","1.0","goal_forced"
