start,end
28.51,60.26
65.89,89.01
157.15,181.03
188.91,205.91
216.91,234.66
244.42,266.05
268.80,285.80
296.55,321.05
325.56,374.81
383.07,394.07
408.45,425.45
452.08,496.21
501.59,512.59
537.97,594.10
599.48,616.48
619.86,641.36
655.49,666.49
679.74,690.74
707.12,724.12
749.13,766.13
777.64,801.51
811.27,822.27
831.02,854.27
857.65,918.03
928.16,939.16
944.92,955.92
962.17,981.04
989.55,1009.55
1015.65,1023.93
1039.56,1050.56
1057.43,1099.19
1108.19,1119.19
1126.07,1157.20
1178.21,1195.21
1200.21,1224.59
1244.22,1255.22
1260.85,1271.85
1287.35,1298.35
1301.35,1312.35
1315.60,1354.11
1359.24,1389.24
1396.62,1413.99
1430.50,1447.63
1475.26,1503.26
1509.76,1530.77
1537.89,1554.89
1569.15,1580.15
1613.53,1646.04
1654.66,1678.54
1694.67,1707.34
1710.44,1715.30
1723.93,1734.93
1740.55,1751.55
1761.06,1765.35
1768.45,1790.69
1797.94,1821.32
1829.57,1859.36
1862.46,1887.83
1899.96,1965.38
1984.97,1995.97
1999.72,2010.72
2015.35,2026.35
2030.60,2041.60
2046.11,2100.99
2114.37,2131.87
2159.00,2170.00
2196.76,2217.01
2223.01,2234.01
2239.77,2257.14
2260.64,2288.52
2297.90,2319.78
2338.53,2349.53
2356.04,2360.78
2363.88,2393.45
2412.42,2435.67
2437.80,2448.80
2474.06,2494.31
2496.69,2514.06
2517.56,2528.56
2560.07,2571.07
2578.45,2601.58
2631.93,2648.33
2650.96,2661.96
2670.72,2681.72
2691.09,2702.09
2709.10,2720.10
2736.60,2773.11
2785.61,2802.61
2807.11,2818.11
2828.12,2852.25
2867.00,2916.26
2919.13,2930.13
2980.27,2991.27
2995.77,3006.77
3012.28,3023.28
3025.40,3075.78
3084.67,3088.91
3098.54,3109.54
3114.54,3121.88
